billnum,billitem,material,qty,netval,tax,rpa_sat,calday
900440287,2,1000009393,1,70.83,14.17,85.00,2021-01-07
900528471,1,108298785,1,65.83,13.17,79.00,2021-01-08
900587742,11,1000031202,1,52.50,10.00,63.00,2021-01-11
900737683,1,7000009745,1,80.83,16.17,97.00,2021-01-01
901216396,1,646,1,427.27,42.73,470.00,2021-02-26
901234558,1,1000033855,1,3932.50,786.50,4719.00,2021-02-24
906278298,1,7000009745,1,80.83,16.17,97.00,2021-01-08
900524695,2,2025447003,1,52.50,10.00,63.00,2021-01-06
900667887,3,1000039953,1,70.00,7.00,77.00,2021-01-11
900688843,2,16951,1,21.67,4.33,26.00,2021-01-19
901136489,3,1000038317,1,291.67,58.33,350.00,2021-02-16
901217379,16,1000048917,1,75.00,15.00,90.00,2021-02-25
906328675,10,2034336002,3,235.00,47.00,282.00,2021-01-09
900750844,1,106530747,1,20.83,4.17,25.00,2021-01-18
900963723,1,107643372,1,761.82,76.18,838.00,2021-02-06
901200299,9,55644,1,83.33,16.67,100.00,2021-02-23
906555539,8,990998,1,7.00,1.00,9.00,2021-01-09
900463131,1,1000008679,1,18.18,1.82,20.00,2021-01-01
900677494,15,1000035211,2,80.00,16.00,96.00,2021-01-14
901162096,2,1000008170,1,50.83,10.17,61.00,2021-02-21
901204673,1,1000026829,1,32.50,6.00,39.00,2021-02-24
907143727,2,2036256003,3,95.00,19.00,114.00,2021-02-09
907258881,12,2037496005,1,3224.17,644.83,3869.00,2021-02-12
903791295,1,1000036827,1,210.00,21.00,231.00,2021-01-02
906765727,4,2037983002,1,369.17,73.83,443.00,2021-01-22
906958034,5,2035019003,1,14.17,2.83,17.00,2021-02-02
900638884,8,55414,1,19.17,3.83,23.00,2021-01-16
900819164,19,1000037698,1,20.00,4.00,24.00,2021-01-26
900819498,1,2026793001,3,1027.50,205.50,1233.00,2021-01-28
901056052,2,2027650002,1,31.67,6.33,38.00,2021-02-05
901223644,8,2033269005,3,100.00,20.00,120.00,2021-02-23
906146103,8,1000027220,1,42.50,8.00,51.00,2021-01-03
906414490,1,107542854,3,133.64,13.36,147.00,2021-01-16
906535475,8,1000022507,1,48.33,9.67,58.00,2021-01-11
906570215,5,2035529004,1,56.67,11.33,68.00,2021-01-13
906705807,14,1000064756,1,44.17,8.83,53.00,2021-01-16
906920327,7,1000013536,3,182.50,36.50,219.00,2021-01-27
907434122,5,2038866005,1,27.27,2.73,30.00,2021-02-22
900659341,1,646,1,427.27,42.73,470.00,2021-01-13
900758000,2,25408,1,622.50,124.50,747.00,2021-01-21
906149903,2,19758,1,432.50,86.50,519.00,2021-01-03
906483311,11,2034502009,1,23.33,4.67,28.00,2021-01-12
907161283,3,2035868005,3,272.50,54.50,327.00,2021-02-07
900710020,2,107971544,3,170.00,34.00,204.00,2021-01-16
901081528,5,2025943001,1,53.33,10.67,64.00,2021-02-18
900429714,1,1000033419,1,48.18,4.82,53.00,2021-01-02
900429722,5,1000030149,2,81.67,16.33,98.00,2021-01-03
900550494,16,1000005461,1,38.33,7.67,46.00,2021-01-05
900685938,1,724391,1,45.83,9.17,55.00,2021-01-22
900749011,3,2026752001,3,1595.45,159.55,1755.00,2021-01-17
900754079,10,107617158,3,114.55,11.45,126.00,2021-01-22
901106542,2,1000021714,1,71.67,14.33,86.00,2021-02-20
901136488,1,2486,1,16.67,3.33,20.00,2021-02-16
907251462,1,7000009745,1,80.83,16.17,97.00,2021-02-15
900452892,2,55239,1,4119.17,823.83,4943.00,2021-01-01
900524523,6,1000047099,1,73.33,14.67,88.00,2021-01-03
900802101,8,2028569004,1,177.50,35.50,213.00,2021-01-20
901179052,2,107823761,1,100.00,20.00,120.00,2021-02-18
907223941,15,1000066031,1,6.36,0.64,7.00,2021-02-12
907520695,3,2034992001,2,46.67,9.33,56.00,2021-02-24
900776455,2,2027213003,1,62.50,12.00,75.00,2021-01-18
906312401,3,55446,1,20.83,4.17,25.00,2021-01-05
900653092,1,16951,1,21.67,4.33,26.00,2021-01-11
900696986,18,1000031327,1,39.09,3.91,43.00,2021-01-13
900784755,10,102921661,1,637.50,127.50,765.00,2021-01-25
900946975,11,2028569001,1,2971.67,594.33,3566.00,2021-02-06
900976694,10,108931,1,189.09,18.91,208.00,2021-02-09
901130248,3,25393,1,13.33,2.67,16.00,2021-02-18
907157133,5,32204,1,65.45,6.55,72.00,2021-02-15
900828887,5,106094578,1,220.83,44.17,265.00,2021-01-26
901199475,7,30598,1,27.27,2.73,30.00,2021-02-21
906208541,1,1000035567,1,5.00,1.00,6.00,2021-01-18
906534715,10,2037762002,1,405.83,81.17,487.00,2021-01-12
906650465,5,2038148004,1,11.67,2.33,14.00,2021-01-14
907141182,3,1000007823,1,58.33,11.67,70.00,2021-02-07
907435471,10,1000038487,1,50.91,5.09,56.00,2021-02-21
900696336,1,108353473,1,50.00,10.00,60.00,2021-01-18
901083005,1,102738575,1,1065.83,213.17,1279.00,2021-02-14
906605862,3,1000057985,1,274.17,54.83,329.00,2021-01-14
900498404,2,1000020239,1,75.00,15.00,90.00,2021-01-06
900766339,3,19067,1,55.00,11.00,66.00,2021-01-04
907093267,19,1000042748,2,94.55,9.45,104.00,2021-02-04
900726563,3,107605536,1,253.33,50.67,304.00,2021-01-18
900799391,2,2025660010,1,302.50,60.50,363.00,2021-01-28
900455580,9,1000011135,1,356.67,71.33,428.00,2021-01-04
900752569,11,40580,1,53.33,10.67,64.00,2021-01-24
900845005,1,107623890,1,53.64,5.36,59.00,2021-01-25
901112859,5,1000024564,3,87.50,17.00,105.00,2021-02-19
906565421,1,897860,1,592.50,118.50,711.00,2021-01-07
906610654,7,91004,4,250.00,50.00,300.00,2021-01-12
900691580,2,1000033679,1,152.50,30.00,183.00,2021-01-13
900821352,7,1000021911,2,1230.00,246.00,1476.00,2021-01-24
900776450,1,7000009745,1,80.83,16.17,97.00,2021-01-30
901023575,2,1000028072,1,601.67,120.33,722.00,2021-02-10
906008416,6,151076,1,17.00,3.00,21.00,2021-01-01
907158237,2,19372,1,320.91,32.09,353.00,2021-02-08
900470209,5,1000014155,1,63.33,12.67,76.00,2021-01-14
900675665,2,662670,1,475.45,47.55,523.00,2021-01-11
900993680,3,2024895005,1,13.33,2.67,16.00,2021-02-07
906698163,1,1000022874,1,168.33,33.67,202.00,2021-01-16
900542005,4,19380,1,51.67,10.33,62.00,2021-01-02
901257140,4,1000047828,1,4.17,0.83,5.00,2021-02-28
907290199,1,2034339004,1,1733.33,346.67,2080.00,2021-02-18
900876609,11,2026913003,1,3955.45,395.55,4351.00,2021-02-02
900940865,16,1000043179,1,46.67,9.33,56.00,2021-02-01
901089886,1,2025688007,1,2034.17,406.83,2441.00,2021-02-22
901112859,8,1000024709,1,22.00,4.00,27.00,2021-02-19
901171038,4,108248817,1,664.17,132.83,797.00,2021-02-20
906984475,3,1000046510,1,69.09,6.91,76.00,2021-02-03
907185862,1,1000015302,1,90.91,9.09,100.00,2021-02-12
900703411,1,1000043176,1,840.00,168.00,1008.00,2021-01-15
906315333,4,1000047798,1,400.00,80.00,480.00,2021-01-13
900823027,1,105362673,1,315.00,63.00,378.00,2021-01-27
900925133,4,2031378005,1,180.83,36.17,217.00,2021-01-18
900992682,1,2025641004,1,520.83,104.17,625.00,2021-02-05
901199802,1,107752886,1,28.18,2.82,31.00,2021-02-22
906706905,1,25392,1,14.17,2.83,17.00,2021-01-18
907092498,5,1000008500,1,1565.83,313.17,1879.00,2021-02-08
900534881,3,19657,1,769.17,153.83,923.00,2021-01-05
906296805,20,102921679,1,49.17,9.83,59.00,2021-01-11
906884259,16,1000039160,1,290.83,58.17,349.00,2021-01-28
907497308,1,1000045930,1,15.83,3.17,19.00,2021-02-24
900862274,2,2024595005,1,566.67,113.33,680.00,2021-01-26
906546837,1,105077629,4,1626.67,325.33,1952.00,2021-01-08
906728889,2,108298831,1,20.00,4.00,24.00,2021-01-24
906109079,2,1000012695,1,50.91,5.09,56.00,2021-01-05
906875968,6,1000046333,3,766.36,76.64,843.00,2021-01-26
907012858,4,55239,1,4119.17,823.83,4943.00,2021-01-29
907150346,2,1000050761,1,362.50,72.50,435.00,2021-02-09
907470970,9,1000056906,1,40.00,8.00,48.00,2021-02-21
900904056,2,2026727004,3,30.00,6.00,36.00,2021-02-03
907003009,3,1000054729,1,17.00,3.00,21.00,2021-02-01
907132545,5,1000011054,1,20.00,4.00,24.00,2021-02-10
907158237,15,70841,1,255.83,51.17,307.00,2021-02-08
900691580,15,1000034548,1,35.83,7.17,43.00,2021-01-13
900876537,1,101915891,1,35.00,7.00,42.00,2021-01-27
906433467,1,1000056614,1,75.83,15.17,91.00,2021-01-09
906538847,20,1000045562,3,155.45,15.55,171.00,2021-01-19
906617688,7,55193,3,40.00,8.00,48.00,2021-01-15
907257667,1,1000050378,1,25.83,5.17,31.00,2021-02-11
900802101,5,2028550002,1,43.33,8.67,52.00,2021-01-20
900828668,1,1000047191,1,42.50,8.00,51.00,2021-01-23
901021323,1,1000018182,1,400.83,80.17,481.00,2021-02-01
901084925,20,107437051,1,3473.64,347.36,3821.00,2021-02-14
906406597,1,1000051449,1,53.33,10.67,64.00,2021-01-07
906771166,1,2034693001,1,4.17,0.83,5.00,2021-01-22
907223941,2,1000065317,4,10720.00,2144.00,12864.00,2021-02-12
907452008,4,30600,3,165.00,33.00,198.00,2021-02-22
900429722,8,1000045848,1,33.33,6.67,40.00,2021-01-03
900439975,3,1000045099,1,77.50,15.00,93.00,2021-01-18
900706889,10,2028380001,1,38.33,7.67,46.00,2021-01-14
906314905,11,72030,3,75.00,15.00,90.00,2021-01-06
906345690,18,1000065422,2,25.00,5.00,30.00,2021-01-07
906496084,2,107084890,1,30.83,6.17,37.00,2021-01-12
906815454,2,26703,1,35.00,7.00,42.00,2021-01-21
907224944,2,20704,3,250.00,50.00,300.00,2021-02-17
900710020,15,2028294003,1,12.00,2.00,15.00,2021-01-16
900819164,12,1000037499,1,10.00,1.00,11.00,2021-01-26
900947196,1,1000048262,1,132.50,26.00,159.00,2021-02-03
901081528,8,2025961005,1,432.50,86.50,519.00,2021-02-18
905440952,1,18452,1,43.33,8.67,52.00,2021-01-02
907502939,9,55239,2,8238.33,1647.67,9886.00,2021-02-24
900686449,1,1000023431,3,90.00,18.00,108.00,2021-01-16
900688956,2,55616,2,46.67,9.33,56.00,2021-01-18
900815209,7,103381758,1,0.83,0.17,1.00,2021-01-04
900985681,3,1000006144,3,40.91,4.09,45.00,2021-02-10
905835310,1,1000052143,1,249.17,49.83,299.00,2021-01-02
900425402,4,1000038235,1,82.50,16.00,99.00,2021-01-02
900646942,7,55239,2,8238.33,1647.67,9886.00,2021-01-12
900649566,2,1000022504,1,69.17,13.83,83.00,2021-01-10
900910418,2,1000042652,2,181.82,18.18,200.00,2021-01-29
900993803,3,1000031414,1,61.67,12.33,74.00,2021-02-04
901169769,9,107084873,1,121.82,12.18,134.00,2021-02-19
901182811,3,2025538003,3,860.00,172.00,1032.00,2021-02-18
901304328,2,20404,1,3416.67,683.33,4100.00,2021-02-28
906192946,1,1000029057,3,185.45,18.55,204.00,2021-01-06
906998438,2,2030197004,1,75.83,15.17,91.00,2021-01-30
900785948,5,2030049004,3,145.00,29.00,174.00,2021-01-27
901044835,10,55481,1,8.18,0.82,9.00,2021-02-10
901065989,2,107790410,1,190.00,38.00,228.00,2021-02-10
901206004,2,7000009745,4,323.33,64.67,388.00,2021-02-24
906048879,2,70245,1,263.33,52.67,316.00,2021-01-01
906955588,1,1000021750,1,3.64,0.36,4.00,2021-01-31
907114362,3,1000041845,1,24.55,2.45,27.00,2021-02-07
900538052,1,1000045470,1,128.18,12.82,141.00,2021-01-13
900719213,2,1000020939,1,30.00,6.00,36.00,2021-01-17
901053505,7,2025471003,1,65.83,13.17,79.00,2021-02-09
901290351,2,102738575,1,1065.83,213.17,1279.00,2021-02-26
906498716,1,55616,1,23.33,4.67,28.00,2021-01-08
906796877,3,1000065357,1,10.00,2.00,12.00,2021-01-21
900527335,2,8178,1,34.17,6.83,41.00,2021-01-02
900657528,6,31171,1,24.17,4.83,29.00,2021-01-13
906637182,4,2038142004,1,46.67,9.33,56.00,2021-01-14
906706404,20,1000040349,1,64.17,12.83,77.00,2021-01-16
907552912,1,17589,1,322.50,64.50,387.00,2021-02-26
900702699,20,102921679,1,49.17,9.83,59.00,2021-01-18
900826087,1,1000020916,1,786.67,157.33,944.00,2021-01-29
901079010,3,1000034252,1,20.00,4.00,24.00,2021-02-11
901196584,2,55517,3,115.00,23.00,138.00,2021-02-22
906822536,2,31171,2,48.33,9.67,58.00,2021-01-23
906926808,1,2038003002,1,412.50,82.50,495.00,2021-01-30
900664547,4,1000012660,2,81.67,16.33,98.00,2021-01-16
900736759,3,2025338002,1,18.33,3.67,22.00,2021-01-22
901064786,4,31171,1,24.17,4.83,29.00,2021-02-09
901144628,13,1000050724,3,65.45,6.55,72.00,2021-02-23
906387514,1,19758,1,432.50,86.50,519.00,2021-01-06
907277964,3,31171,1,24.17,4.83,29.00,2021-02-15
907475139,10,55644,1,83.33,16.67,100.00,2021-02-28
900671271,2,1000030866,3,77.50,15.00,93.00,2021-01-13
900690665,12,1000027037,1,54.17,10.83,65.00,2021-01-12
900890292,4,2027650002,1,31.67,6.33,38.00,2021-02-05
900901156,16,1000022250,1,390.83,78.17,469.00,2021-01-30
901241063,2,2028066005,3,144.55,14.45,159.00,2021-02-26
906359934,1,20776,1,9.17,1.83,11.00,2021-01-06
900603992,2,2030008005,1,25.00,5.00,30.00,2021-01-07
907000814,1,1000023989,1,34.55,3.45,38.00,2021-02-02
907452008,6,35147,1,18.33,3.67,22.00,2021-02-22
900539391,5,2029859004,1,459.09,45.91,505.00,2021-01-04
900638884,5,43791,1,60.83,12.17,73.00,2021-01-16
900657528,4,20862,3,57.50,11.00,69.00,2021-01-13
900744995,1,2026780003,1,1130.83,226.17,1357.00,2021-01-19
900910335,2,19758,1,432.50,86.50,519.00,2021-02-02
901223644,5,2033255006,1,83.33,16.67,100.00,2021-02-23
906146103,5,1000027068,1,1304.55,130.45,1435.00,2021-01-03
906535475,5,108217789,3,597.50,119.50,717.00,2021-01-11
906570215,8,2035530004,1,20.00,4.00,24.00,2021-01-13
906637182,6,2038149001,1,3481.67,696.33,4178.00,2021-01-14
907070528,2,34428,2,46.67,9.33,56.00,2021-02-05
907151568,2,20706,1,10.91,1.09,12.00,2021-02-12
907434122,8,2038898001,3,2377.50,475.50,2853.00,2021-02-22
907548968,7,2036302004,1,50.00,10.00,60.00,2021-02-24
901127559,3,20862,1,19.17,3.83,23.00,2021-02-19
901128368,1,1000006450,1,70.00,14.00,84.00,2021-02-15
901293545,3,1000016335,3,180.00,18.00,198.00,2021-02-28
900658340,4,1000045021,1,19.17,3.83,23.00,2021-01-24
900677494,2,1000034638,3,160.91,16.09,177.00,2021-01-14
901162096,15,1000009651,1,54.55,5.45,60.00,2021-02-21
906750244,2,32204,2,130.91,13.09,144.00,2021-01-19
900425402,6,1000038244,1,78.18,7.82,86.00,2021-01-02
900766123,1,2029923003,1,69.17,13.83,83.00,2021-01-21
901041985,10,105381604,1,62.73,6.27,69.00,2021-02-11
906555539,5,309450,1,23.33,4.67,28.00,2021-01-09
906932775,3,2033685003,3,22.00,4.00,27.00,2021-01-27
900598172,3,43789,1,51.67,10.33,62.00,2021-01-09
900642636,1,231168,1,29.17,5.83,35.00,2021-01-04
900816401,13,55477,3,5.00,1.00,6.00,2021-01-31
900925133,6,2031382005,1,75.45,7.55,83.00,2021-01-18
901076219,2,1000008252,1,24.17,4.83,29.00,2021-02-12
906372879,1,19758,1,432.50,86.50,519.00,2021-01-09
907155453,3,1000022375,1,27.00,5.00,33.00,2021-02-09
906105503,9,2034774004,1,103.33,20.67,124.00,2021-01-02
906649175,10,2034607001,1,40.91,4.09,45.00,2021-01-14
907082164,9,1000066762,1,39.09,3.91,43.00,2021-02-03
900761282,3,107947421,3,11427.50,2285.50,13713.00,2021-01-22
901247264,17,2028497003,3,77.50,15.00,93.00,2021-02-28
907439035,12,2039346001,1,410.00,82.00,492.00,2021-02-22
907474780,5,20862,1,19.17,3.83,23.00,2021-02-25
900796738,3,26703,1,35.00,7.00,42.00,2021-01-24
900995117,14,2027590001,1,58.33,11.67,70.00,2021-02-08
906056156,2,108144436,1,636.67,127.33,764.00,2021-01-02
906315365,5,2035988005,1,30.00,3.00,33.00,2021-01-06
907093267,12,1000042650,1,23.33,4.67,28.00,2021-02-04
900966330,2,2025432004,1,64.17,12.83,77.00,2021-02-05
901066285,14,1000050556,1,350.00,35.00,385.00,2021-02-10
906063185,2,55145,3,217.50,43.50,261.00,2021-01-02
906198117,10,1000056214,3,100.00,20.00,120.00,2021-01-05
906683944,1,102032695,1,212.73,21.27,234.00,2021-01-16
906989711,10,36237,1,90.00,9.00,99.00,2021-02-01
907043967,2,17617,3,67.50,13.00,81.00,2021-02-03
901050493,4,107604939,2,370.00,74.00,444.00,2021-02-15
906875968,4,1000046303,1,240.83,48.17,289.00,2021-01-26
900834285,3,1000021707,1,90.91,9.09,100.00,2021-01-31
900898171,1,108349301,1,52.50,10.00,63.00,2021-01-30
901095966,1,2025091004,2,65.00,13.00,78.00,2021-02-12
906937545,2,1000019063,1,20.00,4.00,24.00,2021-02-04
900712007,2,19372,1,320.91,32.09,353.00,2021-01-17
906212719,1,7000009745,1,80.83,16.17,97.00,2021-01-06
906576457,2,1000034224,1,30.83,6.17,37.00,2021-01-15
906728758,10,2035230004,2,53.33,10.67,64.00,2021-01-17
906975773,13,107617158,1,38.18,3.82,42.00,2021-02-08
900587742,9,1000031032,3,40.00,8.00,48.00,2021-01-11
900971952,2,55309,2,148.33,29.67,178.00,2021-02-05
907077756,1,2040110001,1,59.09,5.91,65.00,2021-02-05
907487337,12,1000039838,1,83.33,16.67,100.00,2021-02-23
900637381,4,2026321002,1,2207.50,441.50,2649.00,2021-01-11
901140780,18,2032897002,1,50.83,10.17,61.00,2021-02-22
901299528,18,1000017781,1,55.00,11.00,66.00,2021-02-28
906489711,10,2039280003,1,76.67,15.33,92.00,2021-01-11
906998150,1,2037943001,3,792.50,158.50,951.00,2021-02-07
900764709,3,1000011795,4,753.33,150.67,904.00,2021-01-20
900874339,1,2028523005,1,35.00,7.00,42.00,2021-01-29
900984889,4,1000026710,1,680.83,136.17,817.00,2021-02-07
906811049,2,1000063880,3,160.00,32.00,192.00,2021-01-24
907040503,1,1000055718,1,30.83,6.17,37.00,2021-02-02
907168719,1,30600,1,55.00,11.00,66.00,2021-02-08
907169049,19,1000031736,3,117.50,23.00,141.00,2021-02-08
907486473,1,2037963004,1,61.67,12.33,74.00,2021-02-26
900747148,4,1000035265,1,64.17,12.83,77.00,2021-01-21
901056351,3,2025794005,1,35.83,7.17,43.00,2021-02-02
901200299,11,57038,1,1.82,0.18,2.00,2021-02-23
901212431,14,1000017100,1,35.83,7.17,43.00,2021-02-24
906005136,10,2035973002,1,120.00,24.00,144.00,2021-01-02
906008416,10,172933,3,57.50,11.00,69.00,2021-01-01
906230173,4,26703,1,35.00,7.00,42.00,2021-01-05
906285612,1,1000073517,1,30.00,6.00,36.00,2021-01-06
907094948,3,71165,3,60.00,12.00,72.00,2021-02-07
900578651,2,19657,1,769.17,153.83,923.00,2021-01-06
901097688,2,724390,1,176.67,35.33,212.00,2021-02-17
901133587,1,106864747,1,20.83,4.17,25.00,2021-02-17
906657701,1,478020,1,634.17,126.83,761.00,2021-01-12
906956265,1,108132523,4,10006.67,2001.33,12008.00,2021-02-06
907088386,14,1000075965,1,33.33,6.67,40.00,2021-02-08
900826944,1,100047631,1,68.33,13.67,82.00,2021-01-10
900893140,18,1000044939,3,122.73,12.27,135.00,2021-02-01
900905961,1,7000009745,3,242.50,48.50,291.00,2021-01-31
906154528,3,55435,1,39.17,7.83,47.00,2021-01-04
906955816,1,1000067625,1,30.00,6.00,36.00,2021-01-30
900530716,4,1000040339,1,39.17,7.83,47.00,2021-01-05
900671272,1,2028352002,3,85.00,17.00,102.00,2021-01-13
900849876,1,2025621014,1,27.27,2.73,30.00,2021-01-28
901103540,8,2026295003,1,31.67,6.33,38.00,2021-02-21
906151254,1,108097238,4,433.33,86.67,520.00,2021-01-03
900917000,9,1000048487,1,12.73,1.27,14.00,2021-02-03
901132924,1,1000008049,1,35.00,7.00,42.00,2021-02-17
901092201,1,16951,1,21.67,4.33,26.00,2021-02-11
906129089,3,1000034418,1,31.67,6.33,38.00,2021-01-02
900602237,3,1000012426,1,315.83,63.17,379.00,2021-01-16
900678760,1,1000048919,3,377.50,75.50,453.00,2021-01-19
900754079,6,107604939,1,185.00,37.00,222.00,2021-01-22
901118044,18,2030162004,1,30.91,3.09,34.00,2021-02-14
901201504,5,20776,2,18.33,3.67,22.00,2021-02-23
906131621,1,1000013506,1,409.17,81.83,491.00,2021-01-02
906397977,17,1000044239,3,1045.00,209.00,1254.00,2021-01-08
907019780,2,18720,3,2330.00,466.00,2796.00,2021-02-02
906015093,2,2033400004,4,93.33,18.67,112.00,2021-01-01
907161282,3,1000055489,1,4.55,0.45,5.00,2021-02-07
900448670,15,1000048199,2,156.67,31.33,188.00,2021-01-02
901089332,1,662668,3,205.00,41.00,246.00,2021-02-20
906093122,9,1000052539,1,80.91,8.09,89.00,2021-01-03
907543343,5,55193,1,13.33,2.67,16.00,2021-02-25
901012107,4,1000050287,1,37.50,7.00,45.00,2021-02-06
906468389,5,1000074930,1,40.83,8.17,49.00,2021-01-09
906873577,2,19067,3,165.00,33.00,198.00,2021-01-28
907227037,3,55480,1,80.83,16.17,97.00,2021-02-13
900492817,2,1000008748,1,47.50,9.00,57.00,2021-01-02
901022454,1,107598903,1,57.27,5.73,63.00,2021-02-07
901086745,2,2024950003,1,75.00,15.00,90.00,2021-02-15
906534715,6,2037747003,1,3881.67,776.33,4658.00,2021-01-12
907238084,2,2038920003,1,3573.33,714.67,4288.00,2021-02-14
907435471,6,1000038164,1,37.50,7.00,45.00,2021-02-21
900754079,4,107531186,1,81.67,16.33,98.00,2021-01-22
901097960,16,2030137003,1,120.00,24.00,144.00,2021-02-15
901153878,2,1000039828,2,95.00,19.00,114.00,2021-02-16
907203653,8,55414,1,19.17,3.83,23.00,2021-02-07
900671684,15,1000009700,1,254.55,25.45,280.00,2021-01-13
900776154,1,2486,1,16.67,3.33,20.00,2021-01-19
901084925,7,107315694,3,220.00,44.00,264.00,2021-02-14
906295131,2,19657,1,769.17,153.83,923.00,2021-01-05
906995656,2,32204,1,65.45,6.55,72.00,2021-02-02
907291374,4,1000043988,1,36.67,7.33,44.00,2021-02-16
907425486,1,1000066649,4,253.33,50.67,304.00,2021-02-22
900491102,2,7000009745,1,80.83,16.17,97.00,2021-01-04
900701222,2,1000009924,1,874.17,174.83,1049.00,2021-01-04
900744994,3,2028105014,1,85.45,8.55,94.00,2021-01-19
906051285,1,25408,1,622.50,124.50,747.00,2021-01-02
906470312,4,2037034004,1,23.33,4.67,28.00,2021-01-09
906673951,12,2036045002,1,1.82,0.18,2.00,2021-01-20
906902615,18,2038857005,3,1071.82,107.18,1179.00,2021-01-26
907225074,2,1000020254,3,505.00,101.00,606.00,2021-02-12
907331847,2,2037207001,1,185.00,37.00,222.00,2021-02-19
900455580,11,1000011269,2,138.18,13.82,152.00,2021-01-04
900530716,6,1000040371,2,314.55,31.45,346.00,2021-01-05
900752569,9,34428,3,70.00,14.00,84.00,2021-01-24
900896356,12,55370,1,237.27,23.73,261.00,2021-01-29
900904170,3,2027189004,3,185.45,18.55,204.00,2021-01-30
901056343,1,12164,2,220.00,44.00,264.00,2021-02-13
901169770,1,7000009745,1,80.83,16.17,97.00,2021-02-19
901288744,12,84339,3,68.18,6.82,75.00,2021-02-28
906631815,1,1000026744,1,19.17,3.83,23.00,2021-01-15
906876769,5,26703,1,35.00,7.00,42.00,2021-01-30
907143094,7,108075291,1,80.83,16.17,97.00,2021-02-13
900737721,7,104136623,1,51.67,10.33,62.00,2021-01-08
900953343,8,104568581,1,312.50,62.50,375.00,2021-02-03
906534715,4,2037733001,1,64.55,6.45,71.00,2021-01-12
907288144,2,2036566003,1,48.33,9.67,58.00,2021-02-16
907435471,4,1000038143,1,36.67,7.33,44.00,2021-02-21
900677607,7,30458,1,24.17,4.83,29.00,2021-01-12
900857132,5,1000042314,1,158.33,31.67,190.00,2021-01-28
901056463,1,1000044452,3,210.00,21.00,231.00,2021-02-13
901225126,1,662670,1,475.45,47.55,523.00,2021-02-24
906208854,1,1000051905,1,58.33,11.67,70.00,2021-01-04
906489192,13,1000070645,1,42.50,8.00,51.00,2021-01-11
906511250,19,73500,1,51.67,10.33,62.00,2021-01-17
906602558,3,163110,1,20.00,4.00,24.00,2021-01-11
906706404,7,1000038420,1,312.50,62.50,375.00,2021-01-16
900464120,1,1000026133,3,122.50,24.00,147.00,2021-02-15
900751168,2,1000034774,1,372.50,74.50,447.00,2021-01-19
900820218,5,34391,1,197.50,39.50,237.00,2021-01-26
900829014,1,724390,1,176.67,35.33,212.00,2021-01-25
901012719,1,1000050337,1,276.67,55.33,332.00,2021-02-06
901213187,1,1000015177,1,170.83,34.17,205.00,2021-02-28
901230667,8,1000006310,1,209.17,41.83,251.00,2021-02-23
907412901,14,1000055687,1,18.33,3.67,22.00,2021-02-18
900424526,2,1000018964,1,30.91,3.09,34.00,2021-01-02
900642637,1,146784,1,1.67,0.33,2.00,2021-01-02
900787647,8,40580,1,53.33,10.67,64.00,2021-01-27
900803581,1,32204,1,65.45,6.55,72.00,2021-01-02
901223940,8,1000046119,1,336.67,67.33,404.00,2021-02-22
906430942,1,19657,3,2307.50,461.50,2769.00,2021-01-08
906483311,9,2034500008,1,56.67,11.33,68.00,2021-01-12
